"","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","y"
"1",14.70931,0,2080,0,0,0,27887.7,0,492,0,20,0,2,34,32,8,9,0,13,22240
"2",8.29929,0,2600,0,3225,0,22893.5,0,492,0,0,0,0,31,26,16,14,0,17,25429.25
"3",39.77707,0,936,0,21438.36,0,55374.7,0,492,0,0,0,0,39,42,20,16,0,18,39773.08
"4",26.26484,0,936,0,0,0,22408.2,0,492,0,20,0,0,42,23,20,17,0,20,18240
"5",8.04299,0,2496,0,0,0,18298.6,0,492,0,220,1,1,35,30,5,7,0,21,19640
"6",8.92905,10.06487,2080,1248,0,0,16928.8,11449.3,492,492,0,1,0,10,7,13,13,0,22,24000
"7",12.25776,0,2496,0,0,0,27887.7,0,492,0,20,0,0,30,27,13,12,0,23,22240
"8",9.12678,19.84234,2496,936,0,0,20764.4,16928.8,492,492,0,2,1,17,15,13,13,0,25,35800
"9",0,6.23666,0,2496,14452.05,0,14452.1,14189,648,492,70,0,1,48,45,5,5,0,26,25188
"10",21.09634,26.52849,2080,1040,0,0,39997,25147.9,492,492,0,0,1,19,21,20,17,1,34,50000
"11",10.37412,9.65158,2080,2080,0,0,19668.5,18298.6,492,492,0,0,0,9,15,13,8,1,39,33000
"12",16.87707,0,2600,0,0,0,39997,0,492,0,0,0,0,43,39,18,15,1,41,47000
"13",13.77467,0,1872,0,0,0,23504.1,0,492,0,50,0,1,33,26,8,9,1,46,20900
"14",29.24961,0,2600,0,0,0,69318.6,0,492,0,0,0,1,29,24,11,11,1,51,48000
"15",45.03788,0,2184,0,0,0,89657.6,0,492,0,0,1,0,4,6,21,18,1,95,60000
"16",5.70726,0,1664,0,0,0,8656.4,0,648,0,70,0,0,40,37,5,6,0,103,12840
"17",9.92117,19.84234,1872,936,0,0,16928.8,16928.8,492,492,0,1,0,15,8,15,18,0,109,28700
"18",0,8.63844,0,1976,0,0,0,15558.9,0,492,110,0,2,37,21,7,18,0,111,19460
"19",8.79562,0,2496,0,0,0,20011,0,492,0,20,0,0,45,43,6,7,0,112,19190
"20",10.40286,9.11835,1872,1872,0,0,17750.7,15558.9,492,492,0,0,3,29,20,10,13,0,113,27600
"21",9.11835,9.11835,1872,1872,0,0,15558.9,15558.9,492,492,0,1,1,16,13,14,13,0,116,26630
"22",10.72398,0,1872,0,0,0,18298.6,0,492,0,140,0,2,27,25,10,10,0,118,16680
"23",5.82447,0,1872,0,0,0,9938.5,0,648,0,160,0,1,43,28,5,7,0,120,12420
"24",4.80769,9.02523,520,1248,0,0,2278.7,10266.7,495,492,140,0,0,37,33,5,5,0,121,13280
"25",6.76146,7.4976,2080,1976,0,0,12819.2,13504.1,492,492,0,0,1,43,39,5,5,0,124,22500
"26",12.63261,0,2184,0,0,0,25147.9,0,492,0,0,0,1,29,25,8,9,0,126,20000
"27",10.35244,0,1213,0,0,0,11449.3,0,492,0,140,2,0,18,11,8,9,0,127,14180
"28",10.81833,0,1300,0,0,0,12819.2,0,492,0,200,0,2,22,22,8,9,0,131,13400
"29",6.83877,0,2496,0,0,0,15558.9,0,492,0,110,2,0,14,5,8,9,0,136,14320
"30",9.19198,0,2184,0,0,0,18298.6,0,492,0,80,1,1,15,8,13,13,0,139,15960
"31",9.85947,0,1274,0,0,0,11449.3,0,492,0,140,0,1,29,29,6,7,0,140,13680
"32",6.12072,0,1092,0,0,0,6092.3,0,648,0,160,0,2,36,36,6,7,0,146,10920
"33",5.35563,0,1248,0,0,0,6092.3,0,648,0,60,0,0,54,49,4,5,0,150,6720
"34",9.88011,6.26033,2184,867,0,0,19668.5,4945.5,492,648,0,1,0,12,7,12,11,1,154,21000
