"","x1","x2","x3","x4","x5","x6","x7","y"
"1",8,307,130,3504,12,70,1,18
"2",8,350,165,3693,11.5,70,1,15
"3",8,318,150,3436,11,70,1,18
"4",8,304,150,3433,12,70,1,16
"5",8,302,140,3449,10.5,70,1,17
"6",8,429,198,4341,10,70,1,15
"7",8,454,220,4354,9,70,1,14
"8",8,440,215,4312,8.5,70,1,14
"9",8,455,225,4425,10,70,1,14
"10",8,390,190,3850,8.5,70,1,15
"11",8,383,170,3563,10,70,1,15
"12",8,340,160,3609,8,70,1,14
"13",8,400,150,3761,9.5,70,1,15
"14",8,455,225,3086,10,70,1,14
"15",4,113,95,2372,15,70,3,24
"16",6,198,95,2833,15.5,70,1,22
"17",6,199,97,2774,15.5,70,1,18
"18",6,200,85,2587,16,70,1,21
"19",4,97,88,2130,14.5,70,3,27
"20",4,97,46,1835,20.5,70,2,26
"21",4,110,87,2672,17.5,70,2,25
"22",4,107,90,2430,14.5,70,2,24
"23",4,104,95,2375,17.5,70,2,25
"24",4,121,113,2234,12.5,70,2,26
"25",6,199,90,2648,15,70,1,21
"26",8,360,215,4615,14,70,1,10
"27",8,307,200,4376,15,70,1,10
"28",8,318,210,4382,13.5,70,1,11
"29",8,304,193,4732,18.5,70,1,9
"30",4,97,88,2130,14.5,71,3,27
"31",4,140,90,2264,15.5,71,1,28
"32",4,113,95,2228,14,71,3,25
"34",6,232,100,2634,13,71,1,19
"35",6,225,105,3439,15.5,71,1,16
"36",6,250,100,3329,15.5,71,1,17
"37",6,250,88,3302,15.5,71,1,19
"38",6,232,100,3288,15.5,71,1,18
"39",8,350,165,4209,12,71,1,14
"40",8,400,175,4464,11.5,71,1,14
"41",8,351,153,4154,13.5,71,1,14
"42",8,318,150,4096,13,71,1,14
"43",8,383,180,4955,11.5,71,1,12
"44",8,400,170,4746,12,71,1,13
"45",8,400,175,5140,12,71,1,13
"46",6,258,110,2962,13.5,71,1,18
"47",4,140,72,2408,19,71,1,22
"48",6,250,100,3282,15,71,1,19
"49",6,250,88,3139,14.5,71,1,18
"50",4,122,86,2220,14,71,1,23
"51",4,116,90,2123,14,71,2,28
"52",4,79,70,2074,19.5,71,2,30
"53",4,88,76,2065,14.5,71,2,30
"54",4,71,65,1773,19,71,3,31
"55",4,72,69,1613,18,71,3,35
"56",4,97,60,1834,19,71,2,27
"57",4,91,70,1955,20.5,71,1,26
"58",4,113,95,2278,15.5,72,3,24
"59",4,97.5,80,2126,17,72,1,25
"60",4,97,54,2254,23.5,72,2,23
"61",4,140,90,2408,19.5,72,1,20
"62",4,122,86,2226,16.5,72,1,21
"63",8,350,165,4274,12,72,1,13
"64",8,400,175,4385,12,72,1,14
"65",8,318,150,4135,13.5,72,1,15
"66",8,351,153,4129,13,72,1,14
"67",8,304,150,3672,11.5,72,1,17
"68",8,429,208,4633,11,72,1,11
"69",8,350,155,4502,13.5,72,1,13
"70",8,350,160,4456,13.5,72,1,12
"71",8,400,190,4422,12.5,72,1,13
"72",3,70,97,2330,13.5,72,3,19
"73",8,304,150,3892,12.5,72,1,15
"74",8,307,130,4098,14,72,1,13
"75",8,302,140,4294,16,72,1,13
"76",8,318,150,4077,14,72,1,14
"77",4,121,112,2933,14.5,72,2,18
"78",4,121,76,2511,18,72,2,22
"79",4,120,87,2979,19.5,72,2,21
"80",4,96,69,2189,18,72,2,26
"81",4,122,86,2395,16,72,1,22
"82",4,97,92,2288,17,72,3,28
"83",4,120,97,2506,14.5,72,3,23
"84",4,98,80,2164,15,72,1,28
"85",4,97,88,2100,16.5,72,3,27
"86",8,350,175,4100,13,73,1,13
"87",8,304,150,3672,11.5,73,1,14
"88",8,350,145,3988,13,73,1,13
"89",8,302,137,4042,14.5,73,1,14
"90",8,318,150,3777,12.5,73,1,15
"91",8,429,198,4952,11.5,73,1,12
"92",8,400,150,4464,12,73,1,13
"93",8,351,158,4363,13,73,1,13
"94",8,318,150,4237,14.5,73,1,14
"95",8,440,215,4735,11,73,1,13
"96",8,455,225,4951,11,73,1,12
"97",8,360,175,3821,11,73,1,13
"98",6,225,105,3121,16.5,73,1,18
"99",6,250,100,3278,18,73,1,16
"100",6,232,100,2945,16,73,1,18
"101",6,250,88,3021,16.5,73,1,18
"102",6,198,95,2904,16,73,1,23
"103",4,97,46,1950,21,73,2,26
"104",8,400,150,4997,14,73,1,11
"105",8,400,167,4906,12.5,73,1,12
"106",8,360,170,4654,13,73,1,13
"107",8,350,180,4499,12.5,73,1,12
"108",6,232,100,2789,15,73,1,18
"109",4,97,88,2279,19,73,3,20
"110",4,140,72,2401,19.5,73,1,21
"111",4,108,94,2379,16.5,73,3,22
"112",3,70,90,2124,13.5,73,3,18
"113",4,122,85,2310,18.5,73,1,19
"114",6,155,107,2472,14,73,1,21
"115",4,98,90,2265,15.5,73,2,26
"116",8,350,145,4082,13,73,1,15
"117",8,400,230,4278,9.5,73,1,16
"118",4,68,49,1867,19.5,73,2,29
"119",4,116,75,2158,15.5,73,2,24
"120",4,114,91,2582,14,73,2,20
"121",4,121,112,2868,15.5,73,2,19
"122",8,318,150,3399,11,73,1,15
"123",4,121,110,2660,14,73,2,24
"124",6,156,122,2807,13.5,73,3,20
"125",8,350,180,3664,11,73,1,11
"126",6,198,95,3102,16.5,74,1,20
"128",6,232,100,2901,16,74,1,19
"129",6,250,100,3336,17,74,1,15
"130",4,79,67,1950,19,74,3,31
"131",4,122,80,2451,16.5,74,1,26
"132",4,71,65,1836,21,74,3,32
"133",4,140,75,2542,17,74,1,25
"134",6,250,100,3781,17,74,1,16
"135",6,258,110,3632,18,74,1,16
"136",6,225,105,3613,16.5,74,1,18
"137",8,302,140,4141,14,74,1,16
"138",8,350,150,4699,14.5,74,1,13
"139",8,318,150,4457,13.5,74,1,14
"140",8,302,140,4638,16,74,1,14
"141",8,304,150,4257,15.5,74,1,14
"142",4,98,83,2219,16.5,74,2,29
"143",4,79,67,1963,15.5,74,2,26
"144",4,97,78,2300,14.5,74,2,26
"145",4,76,52,1649,16.5,74,3,31
"146",4,83,61,2003,19,74,3,32
"147",4,90,75,2125,14.5,74,1,28
"148",4,90,75,2108,15.5,74,2,24
"149",4,116,75,2246,14,74,2,26
"150",4,120,97,2489,15,74,3,24
"151",4,108,93,2391,15.5,74,3,26
"152",4,79,67,2000,16,74,2,31
"153",6,225,95,3264,16,75,1,19
"154",6,250,105,3459,16,75,1,18
"155",6,250,72,3432,21,75,1,15
"156",6,250,72,3158,19.5,75,1,15
"157",8,400,170,4668,11.5,75,1,16
"158",8,350,145,4440,14,75,1,15
"159",8,318,150,4498,14.5,75,1,16
"160",8,351,148,4657,13.5,75,1,14
"161",6,231,110,3907,21,75,1,17
"162",6,250,105,3897,18.5,75,1,16
"163",6,258,110,3730,19,75,1,15
"164",6,225,95,3785,19,75,1,18
"165",6,231,110,3039,15,75,1,21
"166",8,262,110,3221,13.5,75,1,20
"167",8,302,129,3169,12,75,1,13
"168",4,97,75,2171,16,75,3,29
"169",4,140,83,2639,17,75,1,23
"170",6,232,100,2914,16,75,1,20
"171",4,140,78,2592,18.5,75,1,23
"172",4,134,96,2702,13.5,75,3,24
"173",4,90,71,2223,16.5,75,2,25
"174",4,119,97,2545,17,75,3,24
"175",6,171,97,2984,14.5,75,1,18
"176",4,90,70,1937,14,75,2,29
"177",6,232,90,3211,17,75,1,19
"178",4,115,95,2694,15,75,2,23
"179",4,120,88,2957,17,75,2,23
"180",4,121,98,2945,14.5,75,2,22
"181",4,121,115,2671,13.5,75,2,25
"182",4,91,53,1795,17.5,75,3,33
"183",4,107,86,2464,15.5,76,2,28
"184",4,116,81,2220,16.9,76,2,25
"185",4,140,92,2572,14.9,76,1,25
"186",4,98,79,2255,17.7,76,1,26
"187",4,101,83,2202,15.3,76,2,27
"188",8,305,140,4215,13,76,1,17.5
"189",8,318,150,4190,13,76,1,16
"190",8,304,120,3962,13.9,76,1,15.5
"191",8,351,152,4215,12.8,76,1,14.5
"192",6,225,100,3233,15.4,76,1,22
"193",6,250,105,3353,14.5,76,1,22
"194",6,200,81,3012,17.6,76,1,24
"195",6,232,90,3085,17.6,76,1,22.5
"196",4,85,52,2035,22.2,76,1,29
"197",4,98,60,2164,22.1,76,1,24.5
"198",4,90,70,1937,14.2,76,2,29
"199",4,91,53,1795,17.4,76,3,33
"200",6,225,100,3651,17.7,76,1,20
"201",6,250,78,3574,21,76,1,18
"202",6,250,110,3645,16.2,76,1,18.5
"203",6,258,95,3193,17.8,76,1,17.5
"204",4,97,71,1825,12.2,76,2,29.5
"205",4,85,70,1990,17,76,3,32
"206",4,97,75,2155,16.4,76,3,28
"207",4,140,72,2565,13.6,76,1,26.5
"208",4,130,102,3150,15.7,76,2,20
"209",8,318,150,3940,13.2,76,1,13
"210",4,120,88,3270,21.9,76,2,19
"211",6,156,108,2930,15.5,76,3,19
"212",6,168,120,3820,16.7,76,2,16.5
"213",8,350,180,4380,12.1,76,1,16.5
"214",8,350,145,4055,12,76,1,13
"215",8,302,130,3870,15,76,1,13
