"","x1","x2","x3","x4","x5","x6","x7","x8","y"
"1",5710,4,28,40,2693,-25,87,250,3
"2",5700,3,37,45,590,-24,128,100,5
"3",5760,3,51,54,1450,25,139,60,5
"4",5720,4,69,35,1568,15,121,60,6
"5",5790,6,19,45,2631,-33,123,100,4
"6",5790,3,25,55,554,-28,182,250,4
"7",5700,3,73,41,2083,23,114,120,6
"8",5700,3,59,44,2654,-2,91,120,7
"9",5770,8,27,54,5000,-19,92,120,4
"10",5720,3,44,51,111,9,173,150,6
"11",5760,6,33,51,492,-44,181,40,5
"12",5780,6,19,54,5000,-44,135,200,4
"13",5830,3,19,58,1249,-53,243,250,4
"14",5870,2,19,61,5000,-67,186,200,7
"15",5840,5,19,64,5000,-40,174,200,5
"16",5780,4,59,67,639,1,189,150,9
"17",5680,5,73,52,393,-68,210,10,4
"18",5720,4,19,54,5000,-66,126,140,3
"19",5760,3,19,54,5000,-58,111,250,4
"20",5730,4,26,58,5000,-26,111,200,4
"21",5700,5,59,69,3044,18,116,150,5
"22",5650,5,70,51,3641,23,87,140,6
"23",5680,3,64,53,111,-10,153,50,9
"24",5820,5,19,59,597,-52,214,70,6
"25",5810,5,19,64,1791,-15,182,150,6
"26",5790,3,28,63,793,-15,188,120,11
"27",5800,2,32,63,531,-38,244,40,10
"28",5820,5,19,62,419,-29,243,120,7
"29",5770,8,76,63,816,-7,190,6,12
"30",5670,3,69,54,3651,62,95,30,9
"31",5590,3,76,36,5000,70,33,100,2
"32",5410,6,64,31,5000,28,2,200,3
"33",5350,7,62,30,1341,18,77,60,3
"34",5480,9,72,36,5000,0,37,350,2
"35",5600,7,76,42,3799,-18,77,250,3
"36",5490,11,72,37,5000,32,34,350,3
"37",5560,10,72,41,5000,-1,31,300,4
"38",5700,3,32,46,5000,-30,77,300,6
"39",5680,5,50,51,5000,-8,75,300,8
"40",5700,4,86,55,2398,21,121,200,6
"41",5650,5,61,41,5000,51,24,100,4
"42",5610,5,62,41,4281,42,52,250,3
"43",5730,5,66,49,1161,27,116,200,7
"44",5770,5,68,45,2778,2,132,200,11
"45",5770,3,82,55,442,26,146,40,13
"46",5690,8,21,41,5000,-30,57,300,6
"47",5700,3,19,45,5000,-53,66,300,5
"48",5730,11,19,51,5000,-43,95,300,4
"49",5690,7,19,53,5000,7,95,300,4
"50",5640,5,68,50,5000,24,56,300,6
"51",5720,6,63,60,1341,19,151,150,10
"52",5740,3,54,54,1318,2,181,150,15
"53",5740,3,47,53,885,-4,195,80,23
"54",5740,3,56,53,360,3,195,40,17
"55",5670,7,61,44,3497,73,97,40,7
"56",5550,10,74,40,5000,73,45,80,2
"57",5470,7,46,30,5000,44,-15,300,3
"58",5320,11,45,25,5000,39,-25,200,3
"59",5530,3,43,40,5000,-12,9,140,4
"60",5600,3,21,45,5000,-2,39,140,6
"61",5660,7,57,51,5000,30,56,140,7
"62",5580,5,42,48,3608,24,41,100,7
"63",5510,5,50,45,5000,38,5,140,6
"64",5530,5,61,47,5000,56,20,200,3
"65",5620,9,61,43,5000,66,13,120,2
"66",5690,0,60,49,613,-27,154,300,8
"67",5760,4,31,56,334,-9,180,300,12
"68",5740,3,66,53,567,13,166,150,12
"69",5780,5,53,61,488,-20,183,2,16
"70",5790,2,42,63,531,-15,217,50,9
"71",5760,3,60,70,508,7,192,70,24
"72",5700,4,82,57,1571,68,135,17,13
"73",5680,4,57,35,721,28,130,140,8
"74",5720,5,21,52,505,-49,196,140,10
"75",5720,5,19,59,377,-27,229,300,8
"76",5730,4,32,67,442,-9,243,200,9
"77",5710,5,77,57,902,54,158,250,10
"78",5720,4,71,42,1381,4,135,60,14
"79",5710,3,19,55,5000,-16,100,100,9
"80",5600,6,45,40,5000,38,83,150,11
"81",5630,4,44,39,1302,40,115,150,7
"82",5690,7,70,57,1292,-5,120,200,9
"83",5730,6,45,58,5000,-14,115,100,12
"84",5710,3,46,62,472,34,172,300,12
"85",5610,6,50,51,1404,42,125,120,8
"86",5680,5,69,61,944,35,132,100,9
"87",5620,6,67,34,5000,75,18,200,5
"88",5420,7,69,35,5000,41,-6,200,4
"89",5540,5,54,35,5000,62,8,200,4
"90",5590,6,51,48,5000,44,56,300,9
